unb;pdv
734004;8385
724009;17455
724009;50727
724009;16818
724009;19251
724009;9209
724009;16942
724009;19765
724009;7740
724009;50229
724009;6824
724009;50392
724009;16469
734004;17140
992453;6558
734004;7083
724009;4851
734004;91029
724009;16708
724009;50962
724009;16144
724009;17508
724009;8256
992453;2434
992453;4797
992453;6690
724009;6566
724009;17966
724009;5101
724009;5034
724009;8529
724009;1945
724009;16053
724009;17517
724009;17083
724009;3706
734004;19826
724009;17008
724009;15362
734004;4787
992453;4050
724009;19598
724009;50605
724009;18096
724009;1466
724009;5447
724009;16608
724009;16671
724009;6989
724009;18958
992453;6575
724009;16875
724009;18655
1120000;589
734004;17183
734004;7877
734004;98023
724009;1481
734004;91397
724009;15852
734004;13934
724009;18913
724009;8263
992453;6891
992453;6643
724009;11730
734004;22437
724009;16511
724009;18853
734004;15936
734004;18220
724009;5395
724009;15901
724009;17357
992453;3310
734004;6299
734004;9509
734004;19994
724009;17284
992453;4716
734004;18769
734004;20813
734004;18761
724009;19257
724009;15567
724009;8241
992453;6758
992453;5238
992453;6143
724009;6950
734004;21165
734004;285
724009;4875
724009;7358
724009;18399
724009;7520
992453;6788
1120000;20
992453;6535
992453;5527
1120000;2690
992453;6934
724009;4486
724009;18793
734004;19688
734004;91448
724009;7448
1120000;2348
724009;18881
724009;19367
1120000;2714
724009;18091
734004;18334
734004;9179
724009;4029
992453;6583
1120000;129
734004;1480
734004;19395
992453;4951
734004;19167
734004;16264
734004;96676
734004;97176
734004;20207
724009;50803
992453;571
724009;15620
724009;16344
734004;1016
734004;7819
734004;22177
734004;16052
992453;128
992453;2042
734004;16356
992453;6869
992453;5586
724009;17444
724009;6973
724009;7470
724009;9310
734004;22854
724009;1068
734004;11220
724009;16684
724009;7299
724009;17115
734004;2479
992453;4852
734004;17938
1120000;1881
724009;16811
1120000;50211
724009;4959
724009;17140
992453;6580
992453;1347
992453;2680
734004;13796
734004;10158
734004;7914
734004;16602
734004;18920
734004;95970
734004;98958
724009;18604
734004;17975
734004;21863
734004;16219
734004;96234
734004;19429
734004;21017
734004;81473
734004;16870
734004;22146
734004;22434
1016261;2091
992453;6138
992453;5037
734004;8899
1016261;938
734004;8799
734004;16863
992453;6776
734004;10918
1016261;1965
734004;99707
734004;81698
1016261;2136
1016261;288
1016261;259
1016261;454
1016261;707
992453;570
1016261;1973
734004;21160
1016261;761
734004;19705
992453;6408
1016261;2217
1016261;489
992453;5147
734004;18873
734004;22511
734004;7172
1016261;1916
734004;99656
1016261;862
1016261;1080
1016261;779
734004;11279
992453;2088
1016261;1689
734004;1041
1016261;1001
1016261;1324
992453;1219
1016261;2102
